task,year,venue,method,title,paper_url,code_url,project_url,tags,note
VIS,2023,ICCV,CTVIS,CTVIS: Consistent Training for Online Video Instance Segmentation,https://openaccess.thecvf.com/content/ICCV2023/html/Ying_CTVIS_Consistent_Training_for_Online_Video_Instance_Segmentation_ICCV_2023_paper.html,https://github.com/KainingYing/CTVIS,NA,Contrastive memory;Online,Contrastive query memory for temporal consistency.
VIS,2023,CVPR,VideoCutLER,VideoCutLER: Surprisingly Simple Unsupervised Video Instance Segmentation,https://openaccess.thecvf.com/content/CVPR2023/html/Wang_VideoCutLER_Surprisingly_Simple_Unsupervised_Video_Instance_Segmentation_CVPR_2023_paper.html,NA,NA,Unsupervised;DINO,Unsupervised segmentation-to-video synthesis pipeline.
VIS,2024,ECCV,OVFormer,Unified Embedding Alignment for Open-Vocabulary Video Instance Segmentation,https://scholar.google.com/scholar?q=Unified+Embedding+Alignment+for+Open-Vocabulary+Video+Instance+Segmentation,NA,NA,Open vocabulary;Alignment,Vision-language embedding alignment for OV-VIS.
VIS,2024,IJCV,OV2Seg+,OV-VIS: Open-Vocabulary Video Instance Segmentation,https://scholar.google.com/scholar?q=OV-VIS+Open-Vocabulary+Video+Instance+Segmentation,NA,NA,Open vocabulary;VLM,Universal proposal generation and VLM-driven classification.
VPS,2020,CVPR,VPSNet,Video Panoptic Segmentation,https://openaccess.thecvf.com/content_CVPR_2020/html/Kim_Video_Panoptic_Segmentation_CVPR_2020_paper.html,NA,NA,Dual branch;VPS,Early dual-branch baseline for video panoptic segmentation.
VPS,2020,CVPR,ViP-DeepLab,ViP-DeepLab: Learning Visual Perception with Depth-aware Video Panoptic Segmentation,https://openaccess.thecvf.com/content_CVPR_2020/html/Qiao_ViP-DeepLab_Learning_Visual_Perception_With_Depth-Aware_Video_Panoptic_Segmentation_CVPR_2020_paper.html,NA,NA,Depth-aware;3D,Depth-aware extension of VPS with monocular depth.
VPS,2020,CVPR,Panoptic-DeepLab,Panoptic-DeepLab: A Simple Strong and Fast Baseline for Bottom-Up Panoptic Segmentation,https://openaccess.thecvf.com/content_CVPR_2020/html/Cheng_Panoptic-DeepLab_A_Simple_Strong_and_Fast_Baseline_for_Bottom-Up_Panoptic_Segmentation_CVPR_2020_paper.html,https://github.com/bowenc0221/panoptic-deeplab,NA,Dual branch;Bottom-up,Bottom-up panoptic segmentation backbone extended in VPS discussions.
VPS,2022,CVPR,Video K-Net,Video K-Net: A Simple Strong and Unified Baseline for Video Segmentation,https://openaccess.thecvf.com/content/CVPR2022/html/Li_Video_K-Net_A_Simple_Strong_and_Unified_Baseline_for_Video_Segmentation_CVPR_2022_paper.html,https://github.com/lxtGH/Video-K-Net,NA,Query;Unified,Learnable kernels jointly encode semantic categories and instance identities.
VPS,2022,CVPR,Slot-VPS,Slot-VPS: Object-Centric Representation Learning for Video Panoptic Segmentation,https://openaccess.thecvf.com/content/CVPR2022/html/Zhou_Slot-VPS_Object-Centric_Representation_Learning_for_Video_Panoptic_Segmentation_CVPR_2022_paper.html,NA,NA,Object-centric;Slots,Object-centric slot representation for VPS.
VPS,2022,ECCV,PolyphonicFormer,PolyphonicFormer: Unified Query Learning for Depth-aware Video Panoptic Segmentation,https://www.ecva.net/papers/eccv_2022/papers_ECCV/html/641_ECCV_2022_paper.php,https://github.com/HarborYuan/PolyphonicFormer,NA,Query;Depth-aware,Unified query learning with depth-aware VPS.
VPS,2023,ICCV,Tube-Link,Tube-Link: A Flexible Cross Tube Framework for Universal Video Segmentation,https://openaccess.thecvf.com/content/ICCV2023/html/Li_Tube-Link_A_Flexible_Cross_Tube_Framework_for_Universal_Video_Segmentation_ICCV_2023_paper.html,https://github.com/lxtGH/Tube-Link,NA,Tube;Universal segmentation,Generates and links spatio-temporal tube masks.
VPS,2025,ICCV,CAVIS,CAVIS: Context-Aware Video Instance Segmentation,https://scholar.google.com/scholar?q=CAVIS+Context-Aware+Video+Instance+Segmentation,NA,NA,Context;Association,Context-aware association discussed as part of query-memory progression.
VTS,2019,CVPR,Track R-CNN,MOTS: Multi-Object Tracking and Segmentation,https://openaccess.thecvf.com/content_CVPR_2019/html/Voigtlaender_MOTS_Multi-Object_Tracking_and_Segmentation_CVPR_2019_paper.html,NA,NA,Tracking-by-detection;MOTS,Track R-CNN baseline for MOTS.
VTS,2020,ECCV,PointTrack,Segment as Points for Efficient Online Multi-Object Tracking and Segmentation,https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/309_ECCV_2020_paper.php,https://github.com/detectRecog/PointTrack,NA,Point-based;Online,Sparse point representation for robust tracking and segmentation.
VTS,2021,ICCV,ASB,Assignment-Space-Based Multi-Object Tracking and Segmentation,https://openaccess.thecvf.com/content/ICCV2021/html/Choudhuri_Assignment-Space-Based_Multi-Object_Tracking_and_Segmentation_ICCV_2021_paper.html,NA,NA,Assignment;Optimization,Frame-to-frame assignment with global dynamic programming.
VTS,2022,IJCV,MPNTrackSeg,Multi-Object Tracking and Segmentation via Neural Message Passing,https://scholar.google.com/scholar?q=Multi-Object+Tracking+and+Segmentation+via+Neural+Message+Passing,NA,NA,Graph;Message passing,Graph message passing for association and mask prediction.
VTS,2023,ICCV,MITS,Integrating Boxes and Masks: A Multi-Object Framework for Unified Visual Tracking and Segmentation,https://openaccess.thecvf.com/content/ICCV2023/html/Xu_Integrating_Boxes_and_Masks_A_Multi-Object_Framework_for_Unified_Visual_Tracking_ICCV_2023_paper.html,https://github.com/yoxu515/MITS,NA,Transformer;Boxes and masks,Unifies boxes and masks for visual tracking and segmentation.
VTS,2023,arXiv,SAM-PT,Segment Anything Meets Point Tracking,https://arxiv.org/abs/2307.01197,https://github.com/SysCV/sam-pt,NA,SAM;Point tracking,Combines SAM with point tracking for video object segmentation.
VTS,2023,arXiv,SAM-Track,Segment and Track Anything,https://arxiv.org/abs/2305.06558,https://github.com/z-x-yang/Segment-and-Track-Anything,NA,SAM;Interactive tracking,SAM-based segment-and-track framework.
VTS,2023,ICCV,DEVA,Tracking Anything with Decoupled Video Segmentation,https://openaccess.thecvf.com/content/ICCV2023/html/Cheng_Tracking_Anything_With_Decoupled_Video_Segmentation_ICCV_2023_paper.html,https://github.com/hkchengrex/Tracking-Anything-with-DEVA,NA,Decoupled;Foundation model,Decouples per-frame segmentation from temporal propagation.
VTS,2024,arXiv,SAM 2,SAM 2: Segment Anything in Images and Videos,https://arxiv.org/abs/2408.00714,https://github.com/facebookresearch/segment-anything-2,https://sam2.metademolab.com/,Foundation model;Promptable segmentation,Promptable image and video segmentation foundation model.
OVVS,2023,CVPR,ODISE,Open-Vocabulary Panoptic Segmentation with Text-to-Image Diffusion Models,https://openaccess.thecvf.com/content/CVPR2023/html/Xu_Open-Vocabulary_Panoptic_Segmentation_With_Text-to-Image_Diffusion_Models_CVPR_2023_paper.html,https://github.com/NVlabs/ODISE,NA,Open vocabulary;Diffusion,Diffusion features for open-vocabulary panoptic segmentation.
OVVS,2024,ECCV,OVFormer,Unified Embedding Alignment for Open-Vocabulary Video Instance Segmentation,https://scholar.google.com/scholar?q=Unified+Embedding+Alignment+for+Open-Vocabulary+Video+Instance+Segmentation,NA,NA,Open vocabulary;VIS,Open-vocabulary video instance segmentation via embedding alignment.
OVVS,2024,IJCV,OV2Seg+,OV-VIS: Open-Vocabulary Video Instance Segmentation,https://scholar.google.com/scholar?q=OV-VIS+Open-Vocabulary+Video+Instance+Segmentation,NA,NA,Open vocabulary;VIS,Universal proposal generator and VLM-driven classifier.
OVVS,2025,TMM,OV2VSS,Towards Open-Vocabulary Video Semantic Segmentation,https://scholar.google.com/scholar?q=Towards+Open-Vocabulary+Video+Semantic+Segmentation,NA,NA,Open vocabulary;VSS,Spatio-temporal fusion and video-text encoding for OV-VSS.
OVVS,2025,TCSVT,CLIP-VIS,CLIP-VIS: Adapting CLIP for Open-Vocabulary Video Instance Segmentation,https://scholar.google.com/scholar?q=CLIP-VIS+Adapting+CLIP+for+Open-Vocabulary+Video+Instance+Segmentation,NA,NA,Open vocabulary;CLIP,Adapts frozen CLIP for class-agnostic mask generation and OV classification.
Unified,2023,CVPR,BURST,A Unified Benchmark for Multi-Object Tracking and Segmentation,https://scholar.google.com/scholar?q=BURST+A+Unified+Benchmark+for+Multi-Object+Tracking+and+Segmentation,NA,NA,Unified benchmark;Tracking,Unified benchmark connecting tracking and segmentation tasks.
Unified,2024,arXiv,OMG-Seg,OMG-Seg: Is One Model Good Enough for All Segmentation?,https://scholar.google.com/scholar?q=OMG-Seg+Is+One+Model+Good+Enough+for+All+Segmentation,NA,NA,Unified model;Segmentation,One-model direction for unified segmentation.
Unified,2025,arXiv,DVIS++,DVIS++: Improved Decoupled Framework for Universal Video Segmentation,https://scholar.google.com/scholar?q=DVIS%2B%2B+Improved+Decoupled+Framework+for+Universal+Video+Segmentation,NA,NA,Universal video segmentation;Decoupled,Improved decoupled framework for universal video segmentation.
Future,2024,arXiv,VideoSAM,VideoSAM: Open-World Video Segmentation,https://scholar.google.com/scholar?q=VideoSAM+Open-World+Video+Segmentation,NA,NA,Open-world;Foundation model,Representative future-direction entry for open-world VSP.
